gpid,maxang,maxh,maxc,ang,minl,len,lenmcd,lendif,postrix,startdate,starth,startl,starto,startc,startv,lastdate,lastl,lastc,len1,len2,len3,maxh1,maxh2,maxh3,minl1,minl2,minl3,prlenmcd1,prlenmcd2,prlenmcd3,prang1,prang2,maxang1,maxang2,prlendif1,prlendif2,postrix1,postrix2,startl1,sn,refid,rat,prrat1,prrat2,fuminl1,fulen1,fumaxh2,fulen2,fuminl2
108,0.41640888077712823,2.8,2.7,0.12261535169817832,2.23,-9,-3,-9,-9,2016-01-31,2.61,2.23,2.58,2.25,136691567.0,2016-01-31,2.23,2.25,11.0,-18.0,16.0,3.72,4.1,6.34,2.5,2.79,3.18,5.0,-10.0,14.0,0.10521865793786887,0.3011688227238861,0.2988620843084093,1.0017344538977684,-11.0,-14.0,11.0,-18.0,3.48,600166,108,20.000000000000018,0.0,38.11320754716982,2.46,26.0,3.2,-6.0,3.07
117,0.34113446294994443,3.0,2.83,0.08741764506666289,2.46,26,20,0,26,2016-04-10,2.75,2.56,2.68,2.6,185172568.0,2016-04-10,2.56,2.6,-9.0,11.0,-18.0,2.8,3.72,4.1,2.23,2.5,2.79,-3.0,5.0,-10.0,0.12261535169817832,0.10521865793786887,0.41640888077712823,0.2988620843084093,-9.0,-11.0,-9.0,11.0,2.23,600166,117,8.846153846153836,20.000000000000018,0.0,2.71,-6.0,3.64,17.0,3.17
143,0.03951934328290882,3.2,2.94,0.01653261112629518,2.71,-6,0,6,-6,2016-10-16,2.81,2.71,2.78,2.73,280743839.0,2016-10-16,2.71,2.73,26.0,-9.0,11.0,3.0,2.8,3.72,2.46,2.23,2.5,20.0,-3.0,5.0,0.08741764506666289,0.12261535169817832,0.34113446294994443,0.41640888077712823,0.0,-9.0,26.0,-9.0,2.56,600166,143,7.692307692307687,8.846153846153836,20.000000000000018,3.07,17.0,3.29,-2.0,
149,0.28171847351441864,3.64,3.53,0.07367814827250058,3.07,17,13,17,17,2016-11-27,3.43,3.25,3.06,3.13,791272767.0,2016-11-27,3.25,3.13,-6.0,26.0,-9.0,3.2,3.0,2.8,2.71,2.46,2.23,0.0,20.0,-3.0,0.01653261112629518,0.08741764506666289,0.03951934328290882,0.34113446294994443,6.0,0.0,-6.0,26.0,2.71,600166,149,12.77955271565494,7.692307692307687,8.846153846153836,3.17,-2.0,,,
166,0.11056524425257475,3.29,3.2,0.05075627841835725,3.17,-2,-2,2,-2,2017-03-26,3.29,3.17,3.28,3.2,286598999.0,2017-03-26,3.17,3.2,17.0,-6.0,26.0,3.64,3.2,3.0,3.07,2.71,2.46,13.0,0.0,20.0,0.07367814827250058,0.01653261112629518,0.28171847351441864,0.03951934328290882,17.0,6.0,17.0,-6.0,3.25,600166,166,0.0,12.77955271565494,7.692307692307687,,,,,
0,0.6311501140284921,7.2,6.71,0.18008385727621443,3.5,-58,-22,10,-58,2014-01-05,3.8,3.75,3.78,3.79,2246799.0,2014-01-05,3.75,3.79,,,,,,,,,,,,,,,,,,,,,,600319,0,77.04485488126649,,,7.3,14.0,10.8,-15.0,8.42
58,0.9663734447617573,12.25,10.52,0.3120951608631621,7.3,14,8,14,14,2015-03-22,7.55,7.3,6.89,7.02,74471202.0,2015-03-22,7.3,7.02,-58.0,,,7.2,,,3.5,,,-22.0,,,0.18008385727621443,,0.6311501140284921,,10.0,,-58.0,,3.75,600319,58,49.85754985754986,77.04485488126649,,6.51,-15.0,10.53,10.0,9.0
72,1.0614247299070219,10.8,9.98,0.35778942046699314,6.51,-15,-9,-1,-15,2016-01-03,10.8,10.11,10.16,9.98,40316938.0,2016-01-03,10.11,9.98,14.0,-58.0,,12.25,7.2,,7.3,3.5,,8.0,-22.0,,0.3120951608631621,0.18008385727621443,0.9663734447617573,0.6311501140284921,14.0,10.0,14.0,-58.0,7.3,600319,72,0.0,49.85754985754986,77.04485488126649,8.42,10.0,10.77,-8.0,9.62
87,0.40017147330906,10.53,10.03,0.12223250838652479,8.42,10,4,10,10,2016-06-05,10.36,9.55,10.02,9.7,49432546.0,2016-06-05,9.55,9.7,-15.0,14.0,-58.0,10.8,12.25,7.2,6.51,7.3,3.5,-9.0,8.0,-22.0,0.35778942046699314,0.3120951608631621,1.0614247299070219,0.9663734447617573,-1.0,14.0,-15.0,14.0,10.11,600319,87,3.402061855670113,0.0,49.85754985754986,9.0,-8.0,13.89,10.0,
97,0.09610264140349822,10.77,10.23,0.03885145720520797,9.0,-8,-2,8,-8,2016-08-14,9.57,9.08,9.27,9.2,7979797.0,2016-08-14,9.08,9.2,10.0,-15.0,14.0,10.53,10.8,12.25,8.42,6.51,7.3,4.0,-9.0,8.0,0.12223250838652479,0.35778942046699314,0.40017147330906,1.0614247299070219,10.0,-1.0,10.0,-15.0,9.55,600319,97,11.19565217391305,3.402061855670113,0.0,9.62,10.0,,,
105,0.3119970648554704,13.89,12.15,0.1205852612767817,9.62,10,8,10,10,2017-01-29,9.9,9.62,9.55,9.61,11572168.0,2017-01-29,9.62,9.61,-8.0,10.0,-15.0,10.77,10.53,10.8,9.0,8.42,6.51,-2.0,4.0,-9.0,0.03885145720520797,0.12223250838652479,0.09610264140349822,0.40017147330906,8.0,10.0,-8.0,10.0,9.08,600319,105,26.430801248699275,11.19565217391305,3.402061855670113,,,,,
0,0.542446675457859,8.07,7.5,0.1844224621093375,4.94,-35,-3,-7,-35,2014-01-05,5.54,5.41,5.54,5.42,2293477.0,2014-01-05,5.41,5.42,,,,,,,,,,,,,,,,,,,,,,600293,0,38.37638376383763,,,6.23,-10.0,20.76,8.0,6.55
49,0.5058076104382927,12.72,8.68,0.17293640259716975,6.23,-10,-6,10,-10,2014-12-14,7.53,7.2,7.5,7.05,48872772.0,2014-12-14,7.2,7.05,-35.0,,,8.07,,,4.94,,,-3.0,,,0.1844224621093375,,0.542446675457859,,-7.0,,-35.0,,5.41,600293,49,23.120567375886523,38.37638376383763,,7.42,8.0,12.17,-17.0,8.76
59,2.212225234899032,20.76,18.42,0.7513198452766514,7.42,8,2,8,8,2015-05-31,20.48,17.48,13.99,13.99,131093865.0,2015-05-31,17.48,13.99,-10.0,-35.0,,12.72,8.07,,6.23,4.94,,-6.0,-3.0,,0.17293640259716975,0.1844224621093375,0.5058076104382927,0.542446675457859,10.0,-7.0,-10.0,-35.0,7.2,600293,59,31.665475339528236,23.120567375886523,38.37638376383763,6.55,-17.0,15.6,11.0,9.39
