gpid,maxang,maxh,maxc,ang,minl,len,lenmcd,lendif,postrix,startdate,starth,startl,starto,startc,startv,lastdate,lastl,lastc,len1,len2,len3,maxh1,maxh2,maxh3,minl1,minl2,minl3,prlenmcd1,prlenmcd2,prlenmcd3,prang1,prang2,maxang1,maxang2,prlendif1,prlendif2,postrix1,postrix2,startl1,sn,refid,rat,prrat1,prrat2,fuminl1,fulen1,fumaxh2,fulen2,fuminl2
102,0.24014289216083573,74.24,69.96,0.0652529460802904,52.26,17,15,17,17,2016-05-15,54.99,52.26,50.8,51.49,22977176.0,2016-05-15,52.26,51.49,-18.0,10.0,-2.0,56.29,44.4,40.79,30.81,37.38,30.35,4.0,6.0,2.0,0.2056350697758914,0.16512747582571877,0.5917156824365248,0.5201875335180419,18.0,10.0,-18.0,10.0,38.61,300294,102,35.87104292095551,33.90136844823135,13.966480446927365,49.75,-26.0,65.56,3.0,
119,0.4885800385753454,68.31,65.66,0.1352812292154665,49.75,-26,-18,0,-26,2016-09-11,65.1,63.0,64.5,62.51,13740534.0,2016-09-11,63.0,62.51,17.0,-18.0,10.0,74.24,56.29,44.4,52.26,30.81,37.38,15.0,4.0,6.0,0.0652529460802904,0.2056350697758914,0.24014289216083573,0.5917156824365248,17.0,18.0,17.0,-18.0,52.26,300294,119,5.039193729003366,35.87104292095551,33.90136844823135,60.17,3.0,,,
145,0.28049393658416993,65.56,63.09,0.08829221639916388,60.17,3,3,3,3,2017-03-19,62.66,60.17,61.3,60.28,7475200.0,2017-03-19,60.17,60.28,-26.0,17.0,-18.0,68.31,74.24,56.29,49.75,52.26,30.81,-18.0,15.0,4.0,0.1352812292154665,0.0652529460802904,0.4885800385753454,0.24014289216083573,0.0,17.0,-26.0,17.0,63.0,300294,145,4.661579296615792,5.039193729003366,35.87104292095551,,,,,
0,0.21895410312065852,13.29,12.06,0.06392081321716406,8.15,-38,-20,-28,-38,2014-01-05,9.24,9.0,9.06,9.11,1668380.0,2014-01-05,9.0,9.11,,,,,,,,,,,,,,,,,,,,,,300078,0,32.38199780461033,,,7.25,-13.0,35.86,12.0,20.85
46,0.43195128041185993,18.13,12.37,0.1557153552171512,7.25,-13,-9,-11,-13,2014-11-23,9.37,9.08,9.03,9.07,6198343.0,2014-11-23,9.08,9.07,-38.0,,,13.29,,,8.15,,,-20.0,,,0.06392081321716406,,0.21895410312065852,,-28.0,,-38.0,,9.0,300078,46,36.383682469680245,32.38199780461033,,17.15,12.0,40.02,-9.0,30.68
59,2.91308973488656,35.86,28.16,0.9835347567690893,17.15,12,8,12,12,2015-06-21,29.22,28.65,19.94,19.94,15264243.0,2015-06-21,28.65,19.94,-13.0,-38.0,,18.13,13.29,,7.25,8.15,,-9.0,-20.0,,0.1557153552171512,0.06392081321716406,0.43195128041185993,0.21895410312065852,-11.0,-28.0,-13.0,-38.0,9.08,300078,59,41.223671013039095,36.383682469680245,32.38199780461033,20.85,-9.0,54.4,9.0,24.08
71,1.3629652341265839,40.02,33.9,0.4110026550680545,20.85,-9,-1,9,-9,2015-09-13,22.67,20.85,18.61,17.75,15942592.0,2015-09-13,20.85,17.75,12.0,-13.0,-38.0,35.86,18.13,13.29,17.15,7.25,8.15,8.0,-9.0,-20.0,0.9835347567690893,0.1557153552171512,2.91308973488656,0.43195128041185993,12.0,-11.0,12.0,-13.0,28.65,300078,71,90.98591549295773,41.223671013039095,36.383682469680245,30.68,9.0,38.45,-23.0,27.86
80,0.7749511894661407,54.4,48.75,0.2292987960483922,30.68,9,7,9,9,2015-11-15,48.73,42.96,40.38,41.95,64210717.0,2015-11-15,42.96,41.95,-9.0,12.0,-13.0,40.02,35.86,18.13,20.85,17.15,7.25,-1.0,8.0,-9.0,0.4110026550680545,0.9835347567690893,1.3629652341265839,2.91308973488656,9.0,12.0,-9.0,12.0,20.85,300078,80,16.209773539928474,90.98591549295773,41.223671013039095,24.08,-23.0,35.62,13.0,21.99
89,1.705950981113244,38.45,34.44,0.5587652375072009,24.08,-23,-17,-11,-23,2016-01-17,37.73,33.48,30.62,32.25,78206517.0,2016-01-17,33.48,32.25,9.0,-9.0,12.0,54.4,40.02,35.86,30.68,20.85,17.15,7.0,-1.0,8.0,0.2292987960483922,0.4110026550680545,0.7749511894661407,1.3629652341265839,9.0,9.0,9.0,-9.0,42.96,300078,89,6.7906976744186,16.209773539928474,90.98591549295773,27.86,13.0,31.77,-25.0,23.82
112,0.3653496469602424,35.62,33.35,0.13084077847960454,27.86,13,-1,-3,13,2016-07-03,35.62,32.78,34.1,33.35,76626840.0,2016-07-03,32.78,33.35,-23.0,9.0,-9.0,38.45,54.4,40.02,24.08,30.68,20.85,-17.0,7.0,-1.0,0.5587652375072009,0.2292987960483922,1.705950981113244,0.7749511894661407,-11.0,9.0,-23.0,9.0,33.48,300078,112,0.0,6.7906976744186,16.209773539928474,21.99,-25.0,24.82,1.0,
125,0.355793117142871,31.77,29.28,0.1338720251416447,21.99,-25,-13,-25,-25,2016-10-02,29.09,28.5,28.25,27.95,15411056.0,2016-10-02,28.5,27.95,13.0,-23.0,9.0,35.62,38.45,54.4,27.86,24.08,30.68,-1.0,-17.0,7.0,0.13084077847960454,0.5587652375072009,0.3653496469602424,1.705950981113244,-3.0,-11.0,13.0,-23.0,32.78,300078,125,4.758497316636867,0.0,6.7906976744186,23.82,1.0,,,
150,0.017694409837258562,24.82,23.3,,23.82,1,1,-1,1,2017-04-02,24.82,23.82,23.7,23.3,33008146.0,2017-04-02,23.82,23.3,-25.0,13.0,-23.0,31.77,35.62,38.45,21.99,27.86,24.08,-13.0,-1.0,-17.0,0.1338720251416447,0.13084077847960454,0.355793117142871,0.3653496469602424,-25.0,-3.0,-25.0,13.0,28.5,300078,150,0.0,4.758497316636867,0.0,,,,,
0,0.17466828257914901,21.37,20.06,0.0507130460163002,13.43,-38,-16,-2,-38,2014-01-05,14.39,13.43,13.52,14.14,3928617.0,2014-01-05,13.43,14.14,,,,,,,,,,,,,,,,,,,,,,300147,0,41.867043847241845,,,14.02,-13.0,41.84,21.0,12.88
46,0.4215322154429657,18.91,17.91,0.13818184214907198,14.02,-13,-5,-11,-13,2014-11-23,17.85,17.22,17.46,17.27,24223909.0,2014-11-23,17.22,17.27,-38.0,,,21.37,,,13.43,,,-16.0,,,0.0507130460163002,,0.17466828257914901,,-2.0,,-38.0,,13.43,300147,46,3.705848291835556,41.867043847241845,,18.23,21.0,27.82,-17.0,15.89
59,1.0480414299639353,41.84,34.45,0.2898905785098158,18.23,21,17,21,21,2015-02-22,18.71,18.23,18.39,18.36,15111938.0,2015-02-22,18.23,18.36,-13.0,-38.0,,18.91,21.37,,14.02,13.43,,-5.0,-16.0,,0.13818184214907198,0.0507130460163002,0.4215322154429657,0.17466828257914901,-11.0,-2.0,-13.0,-38.0,17.22,300147,59,87.63616557734207,3.705848291835556,41.867043847241845,12.88,-17.0,27.48,11.0,13.38
80,1.375673713854935,27.82,26.26,0.41049531100750825,12.88,-17,-9,-9,-17,2015-07-19,26.38,22.89,22.24,22.02,83544950.0,2015-07-19,22.89,22.02,21.0,-13.0,-38.0,41.84,18.91,21.37,18.23,14.02,13.43,17.0,-5.0,-16.0,0.2898905785098158,0.13818184214907198,1.0480414299639353,0.4215322154429657,21.0,-11.0,21.0,-13.0,18.23,300147,80,19.255222524977313,87.63616557734207,3.705848291835556,15.89,11.0,17.48,-14.0,12.85
97,0.7133195976088972,27.48,24.89,0.20673431336102704,15.89,11,7,3,11,2015-11-15,26.15,23.26,22.16,22.2,106882443.0,2015-11-15,23.26,22.2,-17.0,21.0,-13.0,27.82,41.84,18.91,12.88,18.23,14.02,-9.0,17.0,-5.0,0.41049531100750825,0.2898905785098158,1.375673713854935,1.0480414299639353,-9.0,21.0,-17.0,21.0,22.89,300147,97,12.117117117117115,19.255222524977313,87.63616557734207,13.38,-14.0,16.11,32.0,11.36
108,0.7073369427727945,17.48,16.32,0.24877357062887573,13.38,-14,-4,-14,-14,2016-01-31,17.07,13.78,16.98,13.86,51111004.0,2016-01-31,13.78,13.86,11.0,-17.0,21.0,27.48,27.82,41.84,15.89,12.88,18.23,7.0,-9.0,17.0,0.20673431336102704,0.41049531100750825,0.7133195976088972,1.375673713854935,3.0,-9.0,11.0,-17.0,23.26,300147,108,17.74891774891776,12.117117117117115,19.255222524977313,12.85,32.0,13.17,-14.0,
122,0.3314593169873561,16.11,14.85,0.10215671841347237,12.85,32,28,-32,32,2016-05-15,14.28,13.28,14.28,13.38,52643047.0,2016-05-15,13.28,13.38,-14.0,11.0,-17.0,17.48,27.48,27.82,13.38,15.89,12.88,-4.0,7.0,-9.0,0.24877357062887573,0.20673431336102704,0.7073369427727945,0.7133195976088972,-14.0,3.0,-14.0,11.0,13.78,300147,122,10.986547085201792,17.74891774891776,12.117117117117115,11.36,-14.0,,,
154,0.27319766068248535,13.17,13.05,0.08869364879623842,11.36,-14,-6,-14,-14,2017-01-01,13.08,12.84,12.86,12.9,22290310.0,2017-01-01,12.84,12.9,32.0,-14.0,11.0,16.11,17.48,27.48,12.85,13.38,15.89,28.0,-4.0,7.0,0.10215671841347237,0.24877357062887573,0.3314593169873561,0.7073369427727945,-32.0,-14.0,32.0,-14.0,13.28,300147,154,1.1627906976744207,10.986547085201792,17.74891774891776,,,,,
