,0
250,"SH600033,SW:230,up[4-4]_Wupoutout,SD:411,do[3-5]_Ddoinin"
251,"SH600276,SW:321,do[3-8]_Wdooutout,SD:231,do[4-3]_Ddooutout"
252,"SH600212,SW:230,up[11-3]_Wupoutout,SD:411,do[11-3]_Ddooutin"
253,"SH603299,SW:140,do[5-2]_Wdooutout,SD:140,up[5-1]_Dupoutout"
254,"SH600990,SW:411,do[2-5]_Wdoinin,SD:231,up[2-4]_Dupoutout"
255,"SH600358,SW:140,up[4-1]_Wupoutout,SD:141,up[3-9]_Dupoutout"
256,"SH600868,SW:140,up[5-3]_Wupoutout,SD:411,up[2-9]_Dupoutout"
257,"SH600355,SW:230,do[3-5]_Wdooutout,SD:240,up[11-1]_Dupoutout"
258,"SH603887,SW:111,up[9-3]_Wupinin,SD:411,up[4-1]_Dupoutin"
259,"SH600864,SW:141,up[2-3]_Wupoutout,SD:411,up[1-4]_Dupinin"
260,"SH601558,SW:411,up[12-4]_Wupinin,SD:411,do[1-2]_Ddoinin"
261,"SH600064,SW:140,up[1-1]_Wupoutout,SD:411,up[3-1]_Dupoutin"
262,"SH600048,SW:321,do[4-2]_Wdooutout,SD:230,do[1-6]_Ddooutout"
263,"SH600426,SW:321,up[4-2]_Wupoutout,SD:321,do[4-2]_Ddooutout"
264,"SH600196,SW:321,up[5-2]_Wupoutout,SD:321,do[8-5]_Ddooutout"
265,"SH600156,SW:140,up[8-4]_Wupoutout,SD:411,do[8-1]_Ddooutin"
266,"SH601717,SW:230,do[4-3]_Wdooutout,SD:140,up[4-2]_Dupoutout"
267,"SH600272,SW:140,up[5-5]_Wupoutout,SD:411,do[7-2]_Ddooutin"
268,"SH603729,SW:140,do[4-4]_Wdooutout,SD:240,up[7-2]_Dupoutout"
269,"SH600778,SW:140,up[1-3]_Wupoutout,SD:411,do[6-2]_Ddooutin"
270,"SH600751,SW:411,do[5-4]_Wdoinin,SD:230,do[2-2]_Ddooutout"
271,"SH601886,SW:140,up[12-1]_Wupoutout,SD:241,up[2-3]_Dupoutout"
272,"SH600354,SW:240,up[3-4]_Wupoutout,SD:411,do[6-2]_Ddoinin"
273,"SH600855,SW:140,do[4-2]_Wdooutout,SD:141,do[8-1]_Ddooutout"
274,"SH603005,SW:421,do[5-1]_Wdoinout,SD:320,do[4-2]_Ddooutout"
275,"SH600315,SW:420,do[2-5]_Wdooutout,SD:240,up[2-4]_Dupoutout"
276,"SH601968,SW:140,up[10-3]_Wupoutout,SD:411,up[3-8]_Dupoutout"
277,"SH600387,SW:240,up[4-4]_Wupoutout,SD:411,up[2-4]_Dupinin"
278,"SH600743,SW:140,do[2-1]_Wdooutout,SD:240,up[4-1]_Dupoutout"
279,"SH600876,SW:140,up[11-3]_Wupoutout,SD:411,do[7-1]_Ddooutin"
280,"SH600887,SW:321,up[4-1]_Wupoutout,SD:321,do[5-2]_Ddooutout"
281,"SH600333,SW:411,up[3-5]_Wupoutout,SD:411,do[6-2]_Ddoinin"
282,"SH600960,SW:411,up[5-4]_Wupinin,SD:141,up[9-2]_Dupinout"
283,"SH600679,SW:240,up[5-3]_Wupoutout,SD:411,up[4-2]_Dupinin"
284,"SH600482,SW:411,up[4-1]_Wupinin,SD:231,do[2-3]_Ddooutout"
285,"SH600234,SW:411,do[3-1]_Wdoinin,SD:230,do[4-5]_Ddooutout"
286,"SH601111,SW:321,up[2-1]_Wupoutout,SD:320,do[4-1]_Ddooutout"
287,"SH600847,SW:411,do[5-6]_Wdoinin,SD:240,do[7-2]_Ddooutout"
288,"SH600085,SW:230,do[1-6]_Wdooutout,SD:240,up[5-1]_Dupoutout"
289,"SH600496,SW:240,up[8-3]_Wupoutout,SD:411,up[4-8]_Dupoutout"
290,"SH600291,SW:230,do[5-4]_Wdooutout,SD:140,up[4-1]_Dupoutout"
291,"SH600675,SW:240,up[3-4]_Wupoutout,SD:411,up[4-2]_Dupinin"
292,"SH600239,SW:421,up[2-9]_Wupoutout,SD:321,do[4-3]_Ddooutout"
293,"SH601216,SW:230,do[5-4]_Wdooutout,SD:240,do[6-3]_Ddooutout"
294,"SH600970,SW:230,do[5-4]_Wdooutout,SD:240,up[2-2]_Dupoutout"
295,"SH600740,SW:230,up[9-5]_Wupoutout,SD:411,up[10-3]_Dupoutout"
296,"SH603031,SW:111,up[6-3]_Wupinin,SD:411,do[9-1]_Ddooutin"
297,"SH600892,SW:240,do[2-5]_Wdooutout,SD:140,up[10-2]_Dupoutout"
