,0
261,"SH880221,SW:140,do[1-1]_Wdooutout,SD:241,up[1-3]_Dupoutout"
262,"SH880406,SW:240,up[6-2]_Wupoutout,SD:411,do[2-1]_Ddoinin"
263,"SH880515,SW:321,do[1-5]_Wdooutout,SD:230,up[2-1]_Dupoutout"
264,"SH880550,SW:230,do[3-2]_Wdooutout,SD:230,up[12-1]_Dupoutout"
265,"SH880447,SW:230,do[1-1]_Wdooutout,SD:411,do[4-1]_Ddooutin"
266,"SH880491,SW:421,up[4-2]_Wupoutout,SD:231,do[12-3]_Ddooutout"
267,"SH880492,SW:230,do[1-6]_Wdooutout,SD:241,do[7-4]_Ddooutout"
268,"SH880554,SW:140,up[4-4]_Wupoutout,SD:411,up[1-1]_Dupinin"
269,"SH880848,SW:230,do[2-5]_Wdooutout,SD:240,up[3-1]_Dupoutout"
270,"SH880459,SW:321,up[1-1]_Wupoutout,SD:230,do[2-2]_Ddooutout"
271,"SH880598,SW:140,up[11-3]_Wupoutout,SD:411,do[1-2]_Ddoinin"
